date,game_label,player,rw_team,rw_projected,our_projected,actual_minutes,proj_source,rw_date_source
2026-07-17,Indiana Fever vs Seattle Storm,Flau'jae Johnson,Seattle Storm,25.0,29.5,31.2,replay,inferred
2026-07-17,Chicago Sky vs Los Angeles Sparks,Ariel Atkins,Los Angeles Sparks,28.0,32.8,34.0,replay,inferred
2026-07-17,Connecticut Sun vs Phoenix Mercury,DeWanna Bonner,Phoenix Mercury,28.0,28.4,29.5,replay,inferred
2026-07-17,Atlanta Dream vs Toronto Tempo,Nyara Sabally,Toronto Tempo,21.0,24.5,21.0,replay,inferred
2026-07-17,Chicago Sky vs Los Angeles Sparks,Cameron Brink,Los Angeles Sparks,18.0,18.1,18.6,replay,inferred
2026-07-17,Connecticut Sun vs Phoenix Mercury,Valeriane Ayayi,Phoenix Mercury,23.0,23.1,18.3,replay,inferred
2026-07-17,Chicago Sky vs Los Angeles Sparks,Erica Wheeler,Los Angeles Sparks,28.0,31.5,31.7,replay,inferred
2026-07-17,Atlanta Dream vs Toronto Tempo,Maria Conde,Toronto Tempo,29.0,27.6,30.7,replay,inferred
2026-07-17,Connecticut Sun vs Phoenix Mercury,Diamond Miller,Connecticut Sun,25.0,23.5,21.5,replay,inferred
2026-07-17,Connecticut Sun vs Phoenix Mercury,Charlisse Leger-Walker,Connecticut Sun,28.0,24.9,29.1,replay,inferred
2026-07-17,Atlanta Dream vs Toronto Tempo,Laura Juskaite,Toronto Tempo,23.0,24.2,27.8,replay,inferred
2026-07-17,Connecticut Sun vs Phoenix Mercury,Olivia Nelson-Ododa,Connecticut Sun,22.0,22.4,21.1,replay,inferred
2026-07-17,Chicago Sky vs Los Angeles Sparks,Courtney Vandersloot,Chicago Sky,20.0,19.3,15.3,replay,inferred
2026-07-17,Connecticut Sun vs Phoenix Mercury,Aaliyah Edwards,Connecticut Sun,19.0,20.0,23.9,replay,inferred
2026-07-17,Chicago Sky vs Los Angeles Sparks,Gabriela Jaquez,Chicago Sky,21.0,17.6,13.9,replay,inferred
2026-07-17,Indiana Fever vs Seattle Storm,Sophie Cunningham,Indiana Fever,21.0,22.5,26.9,replay,inferred
2026-07-17,Atlanta Dream vs Toronto Tempo,Julie Allemand,Toronto Tempo,34.0,29.6,31.5,replay,inferred
2026-07-17,Connecticut Sun vs Phoenix Mercury,Kennedy Burke,Connecticut Sun,24.0,20.4,26.6,replay,inferred
2026-07-17,Connecticut Sun vs Phoenix Mercury,Alexa Held,Phoenix Mercury,23.0,,,,inferred
2026-07-17,Indiana Fever vs Seattle Storm,Jade Melbourne,Seattle Storm,20.0,25.4,29.6,replay,inferred
2026-07-17,Atlanta Dream vs Toronto Tempo,Naz Hillmon,Atlanta Dream,24.0,30.8,25.0,replay,inferred
2026-07-17,Connecticut Sun vs Phoenix Mercury,Noemie Brochant,Phoenix Mercury,27.0,21.2,23.1,replay,inferred
2026-07-17,Connecticut Sun vs Phoenix Mercury,Monique Akoa Makani,Phoenix Mercury,15.0,22.5,19.5,replay,inferred
2026-07-17,Chicago Sky vs Los Angeles Sparks,Jacy Sheldon,Chicago Sky,18.0,18.2,27.7,replay,inferred
2026-07-17,Indiana Fever vs Seattle Storm,Monique Billings,Indiana Fever,19.0,24.4,30.8,replay,inferred
2026-07-17,Atlanta Dream vs Toronto Tempo,Kia Nurse,Toronto Tempo,15.0,11.0,17.6,replay,inferred
2026-07-17,Indiana Fever vs Seattle Storm,Lexie Hull,Indiana Fever,20.0,22.1,13.6,replay,inferred
2026-07-17,Indiana Fever vs Seattle Storm,Zia Cooke,Seattle Storm,12.0,13.0,7.6,replay,inferred
2026-07-17,Indiana Fever vs Seattle Storm,Stefanie Dolson,Seattle Storm,18.0,12.5,3.2,replay,inferred
2026-07-17,Connecticut Sun vs Phoenix Mercury,Sami Whitcomb,Phoenix Mercury,12.0,13.1,13.0,replay,inferred
2026-07-17,Indiana Fever vs Seattle Storm,Raven Johnson,Indiana Fever,15.0,0.0,2.7,replay,inferred
2026-07-17,Indiana Fever vs Seattle Storm,Katie Lou Samuelson,Seattle Storm,15.0,15.5,18.6,replay,inferred
2026-07-17,Indiana Fever vs Seattle Storm,Myisha Hines-Allen,Indiana Fever,15.0,16.1,9.2,replay,inferred
2026-07-17,Chicago Sky vs Los Angeles Sparks,Jihyun Park,Los Angeles Sparks,16.0,10.0,8.4,replay,inferred
2026-07-17,Connecticut Sun vs Phoenix Mercury,Saniya Rivers,Connecticut Sun,13.0,18.3,14.3,replay,inferred
2026-07-17,Indiana Fever vs Seattle Storm,Jordan Horston,Seattle Storm,15.0,16.7,19.6,replay,inferred
2026-07-17,Atlanta Dream vs Toronto Tempo,Temi Fagbenle,Toronto Tempo,10.0,12.1,15.1,replay,inferred
2026-07-17,Chicago Sky vs Los Angeles Sparks,Aicha Coulibaly,Chicago Sky,10.0,0.0,3.4,replay,inferred
2026-07-17,Chicago Sky vs Los Angeles Sparks,Elizabeth Williams,Chicago Sky,10.0,15.5,15.7,replay,inferred
2026-07-17,Chicago Sky vs Los Angeles Sparks,Rachel Banham,Chicago Sky,10.0,11.9,5.0,replay,inferred
